slump.n.01	a noticeable deterioration in performance or quality	REDUCE_DIMINISH
contraction.n.04	the act of decreasing (something) in size or volume or quantity or scope	REDUCE_DIMINISH
sucking.n.01	the act of sucking	ATTRACT_SUCK
mix.n.03	the act of mixing together	COMBINE_MIX_UNITE
substitution.n.01	an event in which one thing is substituted for another	REPLACE
vivification.n.02	the activity of giving vitality and vigour to something	AROUSE_WAKE_ENLIVEN
revival.n.01	bringing again into activity and prominence	AROUSE_WAKE_ENLIVEN
stop.n.01	the event of something ending	STOP
discovery.n.03	a productive insight	FIND
discovery.n.01	the act of discovering something	FIND
discovery.n.02	something that is discovered	FIND
flight.n.02	an instance of traveling by air	FLY
knock.n.03	a vigorous blow	HIT
blockage.n.03	the act of blocking	STOP
flap.n.03	the motion made by flapping up and down	MOVE-ONESELF
beginning.n.05	the act of starting something	BEGIN
start.n.01	the beginning of anything	BEGIN
deformation.n.02	alteration in the shape or dimensions of an object as a result of the application of stress to it	SHAPE
diversion.n.02	a turning aside (of your course or attention or concern)	TURN_CHANGE-DIRECTION
combination.n.07	the act of combining things to form a new whole	COMBINE_MIX_UNITE
blow.n.07	forceful exhalation through the nose or mouth	BREATH_BLOW
boom.n.01	a deep prolonged loud noise	MAKE-A-SOUND
caressing.n.01	affectionate play (or foreplay without contact with the genital organs)	TOUCH
decrease.n.04	the act of decreasing or reducing something	REDUCE_DIMINISH
provision.n.02	the activity of supplying or providing something	LOAD_PROVIDE_CHARGE_FURNISH
joining.n.01	the act of bringing two things into contact (especially for communication)	JOIN_CONNECT
think.n.01	an instance of deliberate thinking	THINK
catch.n.09	the act of catching an object with the hands	CATCH
watch.n.03	a purposeful surveillance to guard or observe	SEE
curdling.n.01	the process of forming semisolid lumps in a liquid	CHANGE-APPEARANCE/STATE
cleaning.n.01	the act of making something clean	WASH_CLEAN
completion.n.02	a concluding action	FINISH_CONCLUDE_END
hit.n.02	the act of contacting one thing with another	HIT
rap.n.02	a gentle blow	HIT
recompense.n.02	the act of compensating for service or loss or injury	PAY
hardening.n.02	the process of becoming hard or solid by cooling or drying or crystallization	CHANGE-APPEARANCE/STATE
slowdown.n.01	the act of slowing down or falling behind	SLOW-DOWN
selling.n.01	the exchange of goods for an agreed sum of money	SELL
placement.n.03	the act of putting something in a certain place	PUT_APPLY_PLACE_PAVE
submersion.n.02	the act of wetting something by submerging it	DIP_DIVE
repeat.n.01	an event that repeats	REPEAT
drive.n.08	a journey in a vehicle (usually an automobile)	MOVE-BY-MEANS-OF
spill.n.04	a sudden drop from an upright position	FALL_SLIDE-DOWN
percolation.n.01	the slow passage of a liquid through a filtering medium	PERMEATE
tug.n.01	a sudden abrupt pull	PULL
knock.n.05	the act of hitting vigorously	HIT
wash.n.02	the work of cleansing (usually with soap and water)	WASH_CLEAN
